,Uhrzeit,Datum,Region,Strasse,Ort_PLZ,Tankstelle,Preis,PLZ,Ort,Zeit,Stunde,Minute,Sekunde,Wochentag,ID
0,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Eichelbergstr. 34,76189 Karlsruhe,Supermarkt Tankstelle,1.699,76189,Karlsruhe,19:25:32,19,25,32,7,15
1,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Hardeckstr. 16,76185 Karlsruhe,"Eberhardt, Hardeckstraße, Karlsruhe",1.709,76185,Karlsruhe,19:25:32,19,25,32,7,22
2,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Lameystr.  7,76185 Karlsruhe,bft,1.719,76185,Karlsruhe,19:25:32,19,25,32,7,31
3,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Fettweisstr. 8,76189 Karlsruhe,bft,1.719,76189,Karlsruhe,19:25:32,19,25,32,7,18
4,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Waldhorn Str. 14-16,76137 Karlsruhe,ZG Raiffeisen Energie,1.719,76137,Karlsruhe,19:25:32,19,25,32,7,48
5,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Rüppurrer Str. 102,76137 Karlsruhe,ZG Raiffeisen Energie,1.719,76137,Karlsruhe,19:25:32,19,25,32,7,47
6,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Daxlander Str.  70 a,76185 Karlsruhe,bft,1.719,76185,Karlsruhe,19:25:32,19,25,32,7,10
7,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Östliche Rheinbrückenstr. 37 a,76187 Knielingen,AVIA,1.729,76187,Knielingen,19:25:32,19,25,32,7,54
8,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Haid-und-Neu-Str. 30 a,76131 Karlsruhe,JET,1.729,76131,Karlsruhe,19:25:32,19,25,32,7,20
9,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Wolfartsweierer Str. 46,76137 Karlsruhe,bft,1.729,76137,Karlsruhe,19:25:32,19,25,32,7,52
10,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Willy-Brandt-Allee 3,76131 Karlsruhe,bft,1.729,76131,Karlsruhe,19:25:32,19,25,32,7,51
11,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Rheinstr. 90-92,76185 Karlsruhe,Q1,1.739,76185,Karlsruhe,19:25:32,19,25,32,7,46
12,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Killisfeldstr. 32,76227 Karlsruhe,JET,1.739,76227,Karlsruhe,19:25:32,19,25,32,7,27
13,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Rastatter Str. 116,76199 Karlsruhe,"Eberhardt, Rastatter Straße, Karlsruhe",1.739,76199,Karlsruhe,19:25:32,19,25,32,7,45
14,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Battstr. 2,76199 Karlsruhe,bft,1.739,76199,Karlsruhe,19:25:32,19,25,32,7,5
15,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Neureuter Str. 14,76185 Karlsruhe,Shell,1.749,76185,Karlsruhe,19:25:32,19,25,32,7,39
16,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Killisfeldstr. 44,76227 Karlsruhe,AGIP ENI,1.749,76227,Karlsruhe,19:25:32,19,25,32,7,28
17,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Wilhelm-Hausenstein-Allee 16,76187 Karlsruhe,AVIA,1.749,76187,Karlsruhe,19:25:32,19,25,32,7,50
18,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Neureuter Str. 5,76185 Karlsruhe,AGIP ENI,1.749,76185,Karlsruhe,19:25:32,19,25,32,7,40
19,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Kaiserallee 12 g,76133 Karlsruhe,ARAL,1.759,76133,Karlsruhe,19:25:32,19,25,32,7,24
20,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,An der B 36 101,76287 Rheinstetten,OMV,1.759,76287,Rheinstetten,19:25:32,19,25,32,7,4
21,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Pulverhausstr. 38,76135 Karlsruhe,ESSO,1.759,76135,Karlsruhe,19:25:32,19,25,32,7,44
22,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Amalienstr. 55/59,76133 Karlsruhe,ARAL,1.759,76133,Karlsruhe,19:25:32,19,25,32,7,3
23,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Durlacher Allee 46,76131 Karlsruhe,ARAL,1.759,76131,Karlsruhe,19:25:32,19,25,32,7,13
24,2023-07-02 19:25:32,2023-07-02,76135+Karlsruhe%2FBeiertheim,Karlsruher Str. 82,76139 Karlsruhe,TotalEnergies,1.769,76139,Karlsruhe,19:25:32,19,25,32,7,26
